baseline,ber,bit_nll,brier,ece,channel_nmse,channel_marginal_nll,channel_coverage95,edge_density,receiver_ms_per_sample,receiver_samples_per_sec,receiver_peak_memory_mib,receiver_incremental_peak_memory_mib,trainable_params
bayesroute_full_graph,0.2992113891988993,0.5572279091924429,0.19064861061051486,0.025218400114681523,0.4539850793778896,0.1690960745327174,0.9522372491657733,1.0,0.6031985995093692,1657.8448895612041,133.944140625,83.2525390625,17.0
bayesroute_graph_off,0.3113240595906973,0.5701988767832518,0.1957602325826883,0.011543153625098007,0.4539850793778896,0.1690960745327174,0.9522372491657733,0.0,0.6043201536215292,1654.7650368440347,133.944140625,83.2525390625,17.0
bayesroute_uncertainty,0.2986481059342623,0.5551856525242329,0.18987709227949376,0.016698158479994115,0.4539850793778896,0.1690960745327174,0.9522372491657733,0.7983632273972034,0.6034764939442994,1657.0776391701042,133.944140625,83.2525390625,17.0
bayesroute_uncertainty_off,0.32186656836420297,0.9201341662555933,0.23845863612368698,0.17128819995559746,0.4539850793778896,0.1690960745327174,0.9522372491657733,0.5861782401800155,0.34908129617861045,2864.7325484628136,134.01005859375,83.31845703125,17.0
ls,0.38694029245525596,3.844375144690275,0.3440896231681108,0.3220232436433434,,,,1.0,0.2968628607959545,3368.8516916705657,128.8966796875,78.23779296875,0.0
oracle,0.13587313909083604,0.7067202245816588,0.11075211949646468,0.07754843919537957,,,,1.0,0.29355086903706246,3406.644262253742,117.5537109375,66.89482421875,0.0
