case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell211,6.0,59,2036091560,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,6.0,60,2036091561,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,61,2036091562,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,6.0,62,2036091563,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell211,6.0,63,2036091564,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,0,2036101501,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,1,2036101502,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,2,2036101503,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell211,10.0,3,2036101504,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,4,2036101505,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,5,2036101506,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,6,2036101507,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell211,10.0,7,2036101508,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell211,10.0,8,2036101509,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,9,2036101510,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,10,2036101511,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,11,2036101512,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,12,2036101513,256,4,3,1,0,3,252,0.00390625
confirmation_umi_12prb_cell211,10.0,13,2036101514,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,14,2036101515,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,15,2036101516,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,16,2036101517,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,10.0,17,2036101518,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,18,2036101519,256,3,2,1,0,2,253,0.00390625
confirmation_umi_12prb_cell211,10.0,19,2036101520,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,20,2036101521,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,21,2036101522,256,0,0,0,0,0,256,0.0
