case,group,num_streams,num_prb,frozen_high_snr_tbler,ls_high_snr_tbler,perfect_high_snr_tbler,frozen_minus_ls,frozen_10db_tbler,frozen_14db_tbler,reversal_14_minus_10,coverage95_min,normalized_error_max,within_0p05_of_ls,strict_no_reversal,coverage_ge_0p85,normalized_error_le_2
clean_holdout_uma_t1_ds300_4u,delay_holdout,4,4,0.03333333333333333,0.011458333333333333,0.0,0.021875,0.0203125,0.0328125,0.0125,0.8509928584098816,1.9307382106781008,True,False,True,True
clean_holdout_umi_t1_8prb_4u,grid_holdout,4,8,0.11614583333333334,0.008333333333333333,0.0010416666666666667,0.1078125,0.0984375,0.134375,0.0359375,0.7168460488319397,3.873920440673828,False,False,False,False
clean_holdout_umi_t1_fast_4u,mobility_holdout,4,4,0.0296875,0.0046875,0.0,0.024999999999999998,0.01875,0.0265625,0.0078125,0.8665602207183838,1.6272062063217163,True,True,True,True
clean_holdout_umi_t1_qpsk_4u,mcs_holdout,4,4,0.0010416666666666667,0.0005208333333333333,0.0,0.0005208333333333333,0.0015625,0.0015625,0.0,0.890367329120636,1.2851178646087646,True,True,True,True
clean_holdout_umi_t2_3u2l_6s,loaded_holdout,6,4,0.10694444651405016,0.053472223691642284,0.01736111156642435,0.05347222282240788,0.08958333507180213,0.10208333507180214,0.012500000000000011,0.8817922472953796,1.5988434553146362,False,False,True,True
clean_holdout_umi_t2_len2_4u,dmrs_holdout,4,4,0.0328125,0.0036458333333333334,0.0,0.029166666666666667,0.0265625,0.0328125,0.006250000000000002,0.8731852769851685,1.9282243251800537,True,True,True,True
