case,ebno_db,rep,proposed_tbler,proposed_nmse,comparator_tbler,comparator_nmse,comparator,tbler_delta,nmse_delta
gate2_eval_umi_t1_4prb,2.0,0,0.328125,0.3753907680511474,0.3671875,0.389557421207428,trained_single_lmmse_ce,-0.0390625,-0.014166653156280573
gate2_eval_umi_t1_4prb,2.0,1,0.3203125,0.3761095106601715,0.3359375,0.3887038230895996,trained_single_lmmse_ce,-0.015625,-0.0125943124294281
gate2_eval_umi_t1_4prb,2.0,2,0.28125,0.3764191269874573,0.296875,0.3902773559093475,trained_single_lmmse_ce,-0.015625,-0.013858228921890203
gate2_eval_umi_t1_4prb,2.0,3,0.3671875,0.3780931234359741,0.4453125,0.3901861608028412,trained_single_lmmse_ce,-0.078125,-0.012093037366867065
gate2_eval_umi_t1_4prb,2.0,4,0.2890625,0.3738680779933929,0.3515625,0.3880971372127533,trained_single_lmmse_ce,-0.0625,-0.014229059219360407
gate2_eval_umi_t1_4prb,2.0,5,0.2734375,0.3749798834323883,0.3203125,0.3886759281158447,trained_single_lmmse_ce,-0.046875,-0.013696044683456421
gate2_eval_umi_t1_4prb,2.0,6,0.21875,0.3752351999282837,0.2890625,0.3883509039878845,trained_single_lmmse_ce,-0.0703125,-0.01311570405960083
gate2_eval_umi_t1_4prb,2.0,7,0.2578125,0.3774138689041137,0.3046875,0.3908509314060211,trained_single_lmmse_ce,-0.046875,-0.013437062501907404
gate2_eval_umi_t1_4prb,2.0,8,0.296875,0.3762175440788269,0.3828125,0.3906897604465484,trained_single_lmmse_ce,-0.0859375,-0.014472216367721502
gate2_eval_umi_t1_4prb,2.0,9,0.1640625,0.3750481903553009,0.1953125,0.3883984982967376,trained_single_lmmse_ce,-0.03125,-0.013350307941436712
gate2_eval_umi_t1_4prb,2.0,10,0.3046875,0.3761340379714966,0.3671875,0.38997682929039,trained_single_lmmse_ce,-0.0625,-0.013842791318893433
gate2_eval_umi_t1_4prb,2.0,11,0.2890625,0.3760125339031219,0.359375,0.3894495964050293,trained_single_lmmse_ce,-0.0703125,-0.013437062501907404
gate2_eval_umi_t1_4prb,6.0,0,0.015625,0.3447855114936828,0.0234375,0.3543943762779236,trained_single_lmmse_ce,-0.0078125,-0.009608864784240778
gate2_eval_umi_t1_4prb,6.0,1,0.09375,0.3458015322685241,0.1171875,0.3549694716930389,trained_single_lmmse_ce,-0.0234375,-0.00916793942451477
gate2_eval_umi_t1_4prb,6.0,2,0.0625,0.3441872000694275,0.078125,0.3539111614227295,trained_single_lmmse_ce,-0.015625,-0.009723961353302002
gate2_eval_umi_t1_4prb,6.0,3,0.125,0.3484185934066772,0.15625,0.3576424419879913,trained_single_lmmse_ce,-0.03125,-0.009223848581314087
gate2_eval_umi_t1_4prb,6.0,4,0.0859375,0.343820184469223,0.1015625,0.3537243604660034,trained_single_lmmse_ce,-0.015625,-0.009904175996780396
gate2_eval_umi_t1_4prb,6.0,5,0.0703125,0.3451153039932251,0.078125,0.3542698323726654,trained_single_lmmse_ce,-0.0078125,-0.009154528379440308
gate2_eval_umi_t1_4prb,6.0,6,0.0625,0.35007244348526,0.09375,0.3593966662883758,trained_single_lmmse_ce,-0.03125,-0.00932422280311579
gate2_eval_umi_t1_4prb,6.0,7,0.0625,0.3440407514572143,0.1015625,0.3536333739757538,trained_single_lmmse_ce,-0.0390625,-0.009592622518539484
gate2_eval_umi_t1_4prb,6.0,8,0.0625,0.3447377383708954,0.078125,0.3541541397571563,trained_single_lmmse_ce,-0.015625,-0.00941640138626093
gate2_eval_umi_t1_4prb,6.0,9,0.0546875,0.3445774912834167,0.0625,0.3541016578674316,trained_single_lmmse_ce,-0.0078125,-0.009524166584014893
gate2_eval_umi_t1_4prb,6.0,10,0.1328125,0.3478724360466003,0.171875,0.3572177290916443,trained_single_lmmse_ce,-0.0390625,-0.009345293045044
gate2_eval_umi_t1_4prb,6.0,11,0.0703125,0.3441671729087829,0.1015625,0.3540747761726379,trained_single_lmmse_ce,-0.03125,-0.00990760326385498
gate2_eval_umi_t1_4prb,10.0,0,0.0,0.3310819268226623,0.0,0.3378104269504547,trained_single_lmmse_ce,0.0,-0.006728500127792414
gate2_eval_umi_t1_4prb,10.0,1,0.015625,0.3302342295646667,0.015625,0.3373694717884063,trained_single_lmmse_ce,0.0,-0.007135242223739624
gate2_eval_umi_t1_4prb,10.0,2,0.0390625,0.3335365056991577,0.046875,0.3410376012325287,trained_single_lmmse_ce,-0.0078125,-0.007501095533370972
gate2_eval_umi_t1_4prb,10.0,3,0.0390625,0.3315321803092956,0.0703125,0.3386086821556091,trained_single_lmmse_ce,-0.03125,-0.0070765018463134766
gate2_eval_umi_t1_4prb,10.0,4,0.015625,0.3305273354053497,0.046875,0.3376019597053528,trained_single_lmmse_ce,-0.03125,-0.007074624300003107
gate2_eval_umi_t1_4prb,10.0,5,0.0078125,0.3306478857994079,0.0234375,0.3378284573554992,trained_single_lmmse_ce,-0.015625,-0.007180571556091309
gate2_eval_umi_t1_4prb,10.0,6,0.0,0.3336367011070251,0.0,0.34088996052742,trained_single_lmmse_ce,0.0,-0.0072532594203948975
gate2_eval_umi_t1_4prb,10.0,7,0.015625,0.3305006325244903,0.0234375,0.3378187716007232,trained_single_lmmse_ce,-0.0078125,-0.00731813907623291
gate2_eval_umi_t1_4prb,10.0,8,0.015625,0.3298006951808929,0.015625,0.3371593058109283,trained_single_lmmse_ce,0.0,-0.0073586106300354
gate2_eval_umi_t1_4prb,10.0,9,0.015625,0.3307726979255676,0.0234375,0.3375681340694427,trained_single_lmmse_ce,-0.0078125,-0.0067954361438750666
