scope,pairs,comparator,tbler_delta_proposed_minus_comparator_mean,tbler_delta_proposed_minus_comparator_ci95_low,tbler_delta_proposed_minus_comparator_ci95_high,information_ber_delta_proposed_minus_comparator_mean,information_ber_delta_proposed_minus_comparator_ci95_low,information_ber_delta_proposed_minus_comparator_ci95_high,coded_bit_nll_delta_proposed_minus_comparator_mean,coded_bit_nll_delta_proposed_minus_comparator_ci95_low,coded_bit_nll_delta_proposed_minus_comparator_ci95_high,case
pooled,128,diagonal_posterior_fixed_graph,-0.000244140625,-0.00072265625,0.00023437499999999994,3.272286267019472e-05,-0.0002457847845305819,0.00031123050987097136,1.4856457710263945e-05,1.1086180350547625e-06,2.8604297385473126e-05,
pooled,128,full_graph,-0.009521484375,-0.014516612329999276,-0.004526356420000724,-0.013297348268679348,-0.01614191484017896,-0.010452781697179735,-0.1089296203572303,-0.13697623201608614,-0.08088300869837448,
pooled,128,graph_off,-0.177978515625,-0.19299130630326297,-0.16296572494673703,-0.03959851800755132,-0.04308466633907314,-0.0361123696760295,0.047516301507130265,0.021312241141265238,0.0737203618729953,
pooled,128,ls_lmmse,0.28564453125,0.24421065020325627,0.3270784122967437,0.09210725924594954,0.08094584079230333,0.10326867769959575,,,,
pooled,128,mean_only_graph_fixed_cardinality,-0.0006103515625,-0.002027411178304202,0.0008067080533042017,2.8507900424297504e-05,-0.0001561699393644772,0.00021318574021307222,8.728913962841077e-05,-1.1654191178951109e-05,0.00018623247043577265,
pooled,128,perfect_csi_lmmse,0.44873046875,0.4144688847163164,0.4829920527836836,0.12859340194347624,0.11887682255808694,0.13830998132886554,,,,
pooled,128,proposed_iter1,-0.18994140625,-0.2059084718778927,-0.1739743406221073,-0.04352061277313624,-0.047352386274539714,-0.03968883927173277,0.04171791416592896,0.013489229955410149,0.06994659837644777,
pooled,128,proposed_iter2,-0.0423583984375,-0.04911946738452749,-0.03559732949047251,-0.00323817477328703,-0.004915684734665093,-0.0015606648119089665,0.06559939077124,0.04708225097040451,0.08411653057207548,
pooled,128,proposed_iter3,-0.0157470703125,-0.020023620090688095,-0.011470520534311907,-0.0011781475768657397,-0.002531631207197074,0.0001753360534655949,-0.03367484034970403,-0.0416242199505091,-0.025725460748898955,
pooled,128,proposed_temperature_calibrated,-0.0286865234375,-0.037204426479546304,-0.020168620395453696,0.013970872343634255,0.010735370546329679,0.017206374140938833,0.11381222028285265,0.08602908931943355,0.14159535124627173,
pooled,128,random_graph_fixed_cardinality,-0.04931640625,-0.05735092811810422,-0.04128188438189578,-0.012187994419946342,-0.014012881717643921,-0.010363107122248763,-0.01516848267056048,-0.018540731305242954,-0.011796234035878005,
pooled,128,true_channel_iter1,-0.049560546875,-0.06321642476541992,-0.03590466898458008,0.003256877011153844,-0.0011719809749312624,0.007685734997238951,0.07910734391771257,0.05367880727711828,0.10453588055830686,
pooled,128,true_channel_iter4,0.12548828125,0.10258005341368787,0.14839650908631213,0.020571863860823214,0.014661283253324504,0.026482444468321924,-0.7613217602483928,-0.9780687622873766,-0.544574758209409,
pooled,128,uncertainty_off_fixed_graph,-0.0306396484375,-0.03887953906066285,-0.022399757814337153,-0.024474114514305256,-0.026685844087697457,-0.022262384940913055,-0.8225061693228781,-1.0125330778379278,-0.6324792608078285,
pooled,128,uncertainty_off_temperature_calibrated,-0.05126953125,-0.06476317215936497,-0.03777589034063503,0.0029915167397120968,-0.00040315778829412953,0.006386191267718323,0.07025328325107694,0.04652321629405013,0.09398335020810375,
pooled,128,untrained_proposed,-0.32763671875,-0.3600410792193588,-0.2952323582806412,-0.16722882872272749,-0.178881141299863,-0.15557651614559198,-0.26400433178059757,-0.3068473669146454,-0.22116129664654974,
pooled,128,variance_scaled_proposed,-0.0001220703125,-0.0028288801996709076,0.0025847395746709076,0.00017572932119946867,-0.0007510853444613003,0.0011025439868602377,-0.08133161463774741,-0.12969489037350834,-0.03296833890198647,
per_case,32,diagonal_posterior_fixed_graph,0.0,0.0,0.0,7.210345938802112e-05,-0.0009477564798019813,0.0010919633985780235,6.7241489887133465e-06,-3.675569464458695e-06,1.712386744188539e-05,diag_cdl_a_single_user_2layer
per_case,32,diagonal_posterior_fixed_graph,0.0,0.0,0.0,0.00011571275535970926,-5.209271208993959e-05,0.0002835182228093581,-6.024725735180592e-06,-1.860946315025915e-05,6.560011679897965e-06,diag_uma_type1_4user
per_case,32,diagonal_posterior_fixed_graph,-0.0009765625,-0.002890625,0.0009374999999999997,0.00012143794447183219,-0.00016847988333626158,0.00041135577227992596,5.4853036999698984e-05,8.618603360099809e-06,0.00010108747063929815,diag_umi_type1_2user_2layer
per_case,32,diagonal_posterior_fixed_graph,0.0,0.0,0.0,-0.00017836270853878369,-0.0005118622650015067,0.00015513684792393934,3.87337058782404e-06,-1.6562868840723137e-05,2.4309610016371218e-05,diag_umi_type2_2user_2layer
per_case,32,full_graph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,diag_cdl_a_single_user_2layer
per_case,32,full_graph,0.001953125,-0.0055471768882454685,0.009453426888245468,-0.001515070849563928,-0.0033034546139054126,0.0002733129147775564,-0.010867866687476632,-0.01691624858702148,-0.004819484787931784,diag_uma_type1_4user
per_case,32,full_graph,-0.0166015625,-0.027597014440639195,-0.005606110559360805,-0.025627174414694316,-0.03012218300903727,-0.02113216582035136,-0.21328751370310783,-0.27791248290387366,-0.148662544502342,diag_umi_type1_2user_2layer
per_case,32,full_graph,-0.0234375,-0.03662702552859104,-0.010247974471408959,-0.02604714781045915,-0.031623420281559164,-0.020470875339359138,-0.21156310103833675,-0.26953124508221177,-0.15359495699446174,diag_umi_type2_2user_2layer
per_case,32,graph_off,-0.083984375,-0.10771237557480026,-0.06025637442519974,-0.024420387111604207,-0.03075460832762464,-0.018086165895583775,0.13281072117388248,0.06609618345411969,0.19952525889364528,diag_cdl_a_single_user_2layer
per_case,32,graph_off,-0.2265625,-0.2474622575988702,-0.2056627424011298,-0.050158184312749654,-0.05412827846173377,-0.04618809016376554,-0.06716975569725038,-0.07597936542168186,-0.0583601459728189,diag_uma_type1_4user
per_case,32,graph_off,-0.19921875,-0.22498129820216647,-0.17345620179783353,-0.03968486888334155,-0.046932707896677306,-0.032437029870005796,0.07662506215274334,0.028356023906189978,0.1248941003992967,diag_umi_type1_2user_2layer
per_case,32,graph_off,-0.2021484375,-0.22482461299661097,-0.17947226200338903,-0.04413063172250986,-0.05090025184137928,-0.03736101160364044,0.047799178399145596,0.005877816580389605,0.08972054021790159,diag_umi_type2_2user_2layer
per_case,32,ls_lmmse,0.134765625,0.0678254990599146,0.20170575094008542,0.06275931815616786,0.037491068871273264,0.08802756744106247,,,,diag_cdl_a_single_user_2layer
per_case,32,ls_lmmse,0.1455078125,0.07393059232394168,0.21708503267605833,0.04516029405749579,0.034811756302830524,0.055508831812161055,,,,diag_uma_type1_4user
per_case,32,ls_lmmse,0.4072265625,0.3424661045687625,0.4719870204312375,0.12572546112642158,0.10904293497059855,0.1424079872822446,,,,diag_umi_type1_2user_2layer
per_case,32,ls_lmmse,0.455078125,0.39432797520356067,0.5158282747964393,0.13478396364371292,0.11829280055298388,0.15127512673444196,,,,diag_umi_type2_2user_2layer
per_case,32,mean_only_graph_fixed_cardinality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,diag_cdl_a_single_user_2layer
per_case,32,mean_only_graph_fixed_cardinality,-0.00048828125,-0.002163637132080498,0.001187074632080498,0.00027974415570497513,-6.65171336896147e-05,0.000626005445099565,-4.706718027591705e-05,-0.0002024923238428373,0.0001083579632910032,diag_uma_type1_4user
per_case,32,mean_only_graph_fixed_cardinality,-0.001953125,-0.00578125,0.0018749999999999995,4.4270418584355445e-06,-0.0003819861956955398,0.0003908402794124109,3.418885171416891e-06,-0.00016689120650178145,0.00017372897684461523,diag_umi_type1_2user_2layer
per_case,32,mean_only_graph_fixed_cardinality,0.0,-0.003889378889380834,0.003889378889380834,-0.00017013959586622066,-0.0006962575253129699,0.0003559783335805286,0.00039280485361814325,9.007761365626197e-05,0.0006955320935800246,diag_umi_type2_2user_2layer
per_case,32,perfect_csi_lmmse,0.2734375,0.2032668096709887,0.3436081903290113,0.11279423022642732,0.08953810741600082,0.1360503530368538,,,,diag_cdl_a_single_user_2layer
per_case,32,perfect_csi_lmmse,0.37890625,0.3230662271989537,0.4347462728010463,0.08050473759033139,0.06853045531150348,0.0924790198691593,,,,diag_uma_type1_4user
per_case,32,perfect_csi_lmmse,0.5673828125,0.5285757196828327,0.6061899053171673,0.16046300244852318,0.14855936789126956,0.1723666370057768,,,,diag_umi_type1_2user_2layer
per_case,32,perfect_csi_lmmse,0.5751953125,0.5358318605573975,0.6145587644426025,0.16061163750862306,0.14833166277027343,0.1728916122469727,,,,diag_umi_type2_2user_2layer
per_case,32,proposed_iter1,-0.08984375,-0.11618693557348891,-0.06350056442651109,-0.02261779457330704,-0.029904647794897307,-0.015330941351716774,0.15574653632938862,0.08060169020702622,0.230891382451751,diag_cdl_a_single_user_2layer
per_case,32,proposed_iter1,-0.2451171875,-0.2667477602260871,-0.2234866147739129,-0.055066428205464035,-0.059063819640079944,-0.05106903677084813,-0.07560200616717339,-0.08490867568324101,-0.06629533665110576,diag_uma_type1_4user
per_case,32,proposed_iter1,-0.212890625,-0.23975797185081343,-0.18602327814918657,-0.0459167780354619,-0.0530725368372922,-0.03876101923363161,0.058335188776254654,0.010517915127018516,0.10615246242549078,diag_umi_type1_2user_2layer
per_case,32,proposed_iter1,-0.2119140625,-0.23536904484912696,-0.18845908015087304,-0.05048145027831198,-0.0570343357101778,-0.043928564846446166,0.028391937725245946,-0.012414279756481517,0.06919815520697341,diag_umi_type2_2user_2layer
per_case,32,proposed_iter2,-0.037109375,-0.053481188657841225,-0.020737561342158775,-0.01078519597649574,-0.014320972414595807,-0.007249419538395672,0.09587753191590309,0.05135590720358858,0.14039915662821761,diag_cdl_a_single_user_2layer
per_case,32,proposed_iter2,-0.03857421875,-0.047797089120494005,-0.029351348379505995,-0.005119959125295281,-0.006569675788386144,-0.0036702424622044186,-0.008788208477199069,-0.013142076018446183,-0.004434340935951955,diag_uma_type1_4user
per_case,32,proposed_iter2,-0.0439453125,-0.058461445524700534,-0.02942917947529947,0.0020606461912393596,-0.0012935239623304072,0.005414816344809127,0.10180702991783619,0.06290302550196131,0.14071103433371107,diag_umi_type1_2user_2layer
per_case,32,proposed_iter2,-0.0498046875,-0.0629538299673968,-0.036655545032603196,0.000891809817403541,-0.0017858357527658028,0.003569455387572885,0.07350120972841978,0.03981599806230905,0.10718642139453051,diag_umi_type2_2user_2layer
per_case,32,proposed_iter3,-0.013671875,-0.022767327032134015,-0.004576422967865984,-0.0009677079506218381,-0.00391576982772714,0.0019803539264834635,0.0015732217580080102,-0.007920520251128512,0.011066963767144533,diag_cdl_a_single_user_2layer
per_case,32,proposed_iter3,-0.01611328125,-0.023189970467794627,-0.009036592032205372,-0.004622777283657344,-0.005781816077349467,-0.0034637384899652212,-0.01331413257867098,-0.016619934719667603,-0.010008330437674358,diag_uma_type1_4user
per_case,32,proposed_iter3,-0.013671875,-0.020915680034546982,-0.006428069965453017,0.0015736320056021292,-0.001687029957200842,0.004834293968405101,-0.06496315263211727,-0.08410825255505153,-0.04581805270918301,diag_umi_type1_2user_2layer
per_case,32,proposed_iter3,-0.01953125,-0.030093617280613022,-0.00896888271938698,-0.0006957370787859058,-0.0033244925316234385,0.0019330183740516268,-0.05799529794603586,-0.07095671715709283,-0.0450338787349789,diag_umi_type2_2user_2layer
per_case,32,proposed_temperature_calibrated,-0.009765625,-0.017754252071493525,-0.0017769979285064772,0.03631370305083692,0.02782400635796198,0.044803399743711864,0.24184335861355066,0.1615609097825538,0.32212580744454755,diag_cdl_a_single_user_2layer
