comparator,pairs,tbler_delta_proposed_minus_comparator_mean,tbler_delta_proposed_minus_comparator_ci95_low,tbler_delta_proposed_minus_comparator_ci95_high,information_ber_delta_proposed_minus_comparator_mean,information_ber_delta_proposed_minus_comparator_ci95_low,information_ber_delta_proposed_minus_comparator_ci95_high,coded_bit_nll_delta_proposed_minus_comparator_mean,coded_bit_nll_delta_proposed_minus_comparator_ci95_low,coded_bit_nll_delta_proposed_minus_comparator_ci95_high
diagonal_posterior_fixed_graph,140,-0.0002232142857142857,-0.0006607142857142857,0.0002142857142857143,3.0376043702872486e-05,-0.00013006181548120145,0.00019081390288694643,7.054635456657918e-07,-8.059892312680292e-06,9.470819404011874e-06
full_graph,140,-0.006696428571428571,-0.011066704798231764,-0.0023261523446253783,-0.007759911114616057,-0.010077330586449915,-0.005442491642782199,-0.06268537597996848,-0.08551230020682754,-0.03985845175310943
ls_lmmse,140,0.1353794642857143,0.08324026784293057,0.18751866072849802,0.04850034601175659,0.03567032235994739,0.06133036966356579,,,
mean_only_graph_fixed_cardinality,140,-0.0006696428571428571,-0.0016933199513309942,0.0003540342370452799,0.00010106212326458264,-2.6059445151573984e-05,0.00022818369168073926,4.6888632433750296e-05,-6.448700405219598e-06,0.00010022596527272019
perfect_csi_kbest,20,0.134375,0.09743743042574901,0.17131256957425098,0.02868652408542402,0.01997731198259426,0.03739573618825378,,,
perfect_csi_lmmse,140,0.30066964285714287,0.2600883821614809,0.34125090355280485,0.07757874096153371,0.06542939256334349,0.08972808935972393,,,
random_graph_fixed_cardinality,140,-0.03002232142857143,-0.03795036582699424,-0.02209427703014862,-0.008445083349943162,-0.010382052708845912,-0.006508113991040412,-0.008384147286415103,-0.011017358725222998,-0.005750935847607209
uncertainty_off_fixed_graph,140,-0.021651785714285714,-0.028783044403647942,-0.014520527024923484,-0.015124203070289305,-0.017745618511730843,-0.012502787628847765,-0.5896797775423952,-0.7955826012442384,-0.383776953840552
