step,ebno_db,loss,coded_bit_nll,channel_nll,coded_ber,channel_nmse,channel_coverage95,edge_density,grad_norm,validation_coded_bit_nll,contract_signature
0,-2.0,0.6374503970146179,0.6243007779121399,0.6574814319610596,0.3458455502986908,0.6522760391235352,0.868425190448761,0.9220106601715088,0.1558474451303482,0.6684414744377136,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
25,6.339314982055054,0.7241740822792053,0.702581524848938,1.079627275466919,0.3121812641620636,0.748450517654419,0.7914191484451294,0.8504322171211243,0.35616564750671387,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
50,2.6786299641101072,0.5997539758682251,0.5896357297897339,0.505911648273468,0.2958441972732544,0.5554701685905457,0.869432270526886,0.9072265625,0.22730176150798798,0.5915859937667847,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
75,-0.9820550538348385,0.5461976528167725,0.5439249873161316,0.11363305151462555,0.2843356728553772,0.4256625175476074,0.9375678300857544,0.9186740517616272,0.1442107856273651,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
100,7.3572599282202145,0.6110926866531372,0.6011619567871094,0.4965353012084961,0.2723117470741272,0.5285013318061829,0.8497111201286316,0.8560112714767456,0.3321782350540161,0.5236376523971558,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
125,3.6965749102752685,0.536420464515686,0.5333485007286072,0.15359799563884735,0.25994873046875,0.412498414516449,0.8997802734375,0.8820258378982544,0.2001480907201767,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
150,0.035889892330323026,0.5006207227706909,0.5022614598274231,-0.08203800022602081,0.2522379457950592,0.3329359292984009,0.942138671875,0.9068920016288757,0.1197485625743866,0.46892067790031433,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
175,8.375204874385377,0.5471188426017761,0.543057382106781,0.20307165384292603,0.2396918386220932,0.40697696805000305,0.8682522177696228,0.8434063792228699,0.3140968382358551,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
200,4.714519856440431,0.4315309226512909,0.43657079339027405,-0.2519933581352234,0.2072346955537796,0.278556764125824,0.9267204999923706,0.8680917024612427,0.16362741589546204,0.42584124207496643,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
225,1.0538348384954848,0.43230220675468445,0.439688116312027,-0.3692948818206787,0.2110053151845932,0.2394545078277588,0.9507107138633728,0.8847927451133728,0.09234815090894699,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
250,9.393149820550537,0.4957990050315857,0.4938625693321228,0.09682156145572662,0.2130669504404068,0.3457619249820709,0.8621046543121338,0.8030327558517456,0.30743885040283203,0.39151322841644287,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
275,5.732464802605592,0.45346957445144653,0.4581705331802368,-0.23504813015460968,0.2097913920879364,0.2595106363296509,0.9023200273513794,0.8436324596405029,0.11379552632570267,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
300,2.071779784660646,0.399860143661499,0.4095279276371002,-0.48338890075683594,0.1889987587928772,0.2090766876935959,0.9384663701057434,0.8679922819137573,0.07432910054922104,0.36814606189727783,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
325,-1.5889052332843001,0.45453351736068726,0.4627770781517029,-0.412178099155426,0.2263522744178772,0.22764812409877777,0.9438374638557434,0.8720884323120117,0.047585852444171906,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
350,6.750409748770753,0.3812579810619354,0.3931563198566437,-0.5949176549911499,0.1716444194316864,0.18452630937099457,0.9174872636795044,0.7955096364021301,0.092533178627491,0.3521049916744232,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
375,3.0897247308258073,0.3762494921684265,0.38643208146095276,-0.5091294646263123,0.176662877202034,0.20115028321743011,0.9189894199371338,0.8434606790542603,0.06537508964538574,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
400,-0.5709602871191386,0.4378364384174347,0.44701138138771057,-0.4587477743625641,0.21612548828125,0.21807514131069183,0.9310370683670044,0.8677119612693787,0.041434209793806076,0.340326726436615,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
425,7.7683546949359155,0.33180394768714905,0.34479182958602905,-0.6493934988975525,0.1429511159658432,0.17119573056697845,0.9070875644683838,0.8284505009651184,0.09954395890235901,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
450,4.1076696769909695,0.36018311977386475,0.3754587173461914,-0.763779878616333,0.1653374582529068,0.15517006814479828,0.9302402138710022,0.7874348759651184,0.0495629645884037,0.3314632773399353,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
475,0.4469846590460227,0.39476191997528076,0.4072336256504059,-0.6235858798027039,0.1900634765625,0.18427830934524536,0.9233195185661316,0.8431712985038757,0.03797484189271927,nan,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
499,3.652727041818874,0.36583083868026733,0.37832820415496826,-0.6248682737350464,0.1670600026845932,0.17362870275974274,0.905412495136261,0.7877513766288757,0.03637363389134407,0.3254220187664032,5b650fb798b4b252ed5fb10eba8c524038aff05b9b7f05bfe9592b3a387788f6
