extension_step,global_step,case,num_prb,ebno_db,learning_rate,loss,coded_bit_nll,channel_nll,calibration_penalty,gradient_norm,validation_score,contract_signature
0,1600,extension_train_umi_4prb,4,-2.0,0.001,0.3523392081260681,0.4130047559738159,-1.2282822132110596,0.014971693977713585,0.12913751602172852,0.26621123964056076,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
40,1640,extension_train_umi_4prb,4,-0.20946137161588507,0.0009987653915080397,0.23151852190494537,0.31370049715042114,-1.742217779159546,0.09857845306396484,0.06758281588554382,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
80,1680,extension_train_umi_4prb,4,1.5810772567682299,0.000995069187322801,0.212490513920784,0.28881779313087463,-1.5435906648635864,0.017045173794031143,0.179977148771286,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
120,1720,extension_train_umi_4prb,4,3.3716158851523446,0.0009889342042696597,0.11414866894483566,0.2097974270582199,-2.1318156719207764,0.21884050965309143,0.14650093019008636,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
160,1760,extension_train_umi_4prb,4,5.16215451353646,0.0009803983138594924,0.058630961924791336,0.16278041899204254,-2.3274130821228027,0.2444239854812622,0.17748016119003296,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
200,1800,extension_train_umi_4prb,4,6.952693141920575,0.0009695142085062338,0.04322361573576927,0.1452064961194992,-2.043731212615967,0.004073625430464745,0.1816529780626297,0.26887710329358044,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
240,1840,extension_train_umi_4prb,4,8.74323177030469,0.0009563490762543662,-0.03909074515104294,0.07472450286149979,-2.505303382873535,0.2289983630180359,0.16420751810073853,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
280,1880,extension_train_umi_4prb,4,10.533770398688803,0.0009409841860242695,0.026859935373067856,0.13726814091205597,-2.209826946258545,0.0016628805315122008,0.18858832120895386,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
320,1920,extension_train_umi_4prb,4,12.32430902707292,0.0009235143859357242,-0.07417412102222443,0.041142478585243225,-2.3129665851593018,0.006634534802287817,0.03874494880437851,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
360,1960,extension_train_umi_4prb,4,-1.8851523445429663,0.0009040475178064412,0.3329256474971771,0.3951932191848755,-1.2555674314498901,0.010215956717729568,0.12330682575702667,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
