extension_step,global_step,case,num_prb,ebno_db,learning_rate,loss,coded_bit_nll,channel_nll,calibration_penalty,gradient_norm,validation_score,contract_signature
400,2000,extension_train_umi_4prb,4,-0.09461371615885161,0.0008827037514399418,0.2532922327518463,0.3339217007160187,-1.6137491464614868,0.0011597853153944016,0.11120519042015076,0.26642858614719844,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
440,2040,extension_train_umi_4prb,4,1.6959249122252635,0.0008596148428122585,0.14548571407794952,0.24144776165485382,-2.093043565750122,0.17380261421203613,0.0938984602689743,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
480,2080,extension_train_umi_4prb,4,3.4864635406093782,0.0008349233207367005,0.12618432939052582,0.22618018090724945,-2.029794692993164,0.02987786941230297,0.021343624219298363,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
520,2120,extension_train_umi_4prb,4,5.277002168993493,0.0008087816070274375,0.05627407133579254,0.1492433100938797,-1.876681923866272,0.017297131940722466,0.19398248195648193,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
560,2160,extension_train_umi_4prb,4,7.0675407973776085,0.0007813510755931683,0.037715159356594086,0.13368012011051178,-1.9428939819335938,0.02359476499259472,0.19250625371932983,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
600,2200,extension_train_umi_4prb,4,8.858079425761723,0.000752801056269132,-0.05739232152700424,0.05460386723279953,-2.5499610900878906,0.31003740429878235,0.22194522619247437,0.26413187032755014,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
640,2240,extension_train_umi_4prb,4,10.648618054145837,0.0007233077895368437,-0.07621562480926514,0.021488064900040627,-2.8714282512664795,0.9173546433448792,0.4019482433795929,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
680,2280,extension_train_umi_4prb,4,12.439156682529953,0.0006930533385841204,-0.02656208723783493,0.010855848900973797,-3.006056070327759,2.257697343826294,0.647545576095581,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
720,2320,extension_train_umi_4prb,4,-1.7703046890859326,0.000662224465421291,0.32882270216941833,0.4010232985019684,-1.4455145597457886,0.0015026372857391834,0.061139434576034546,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
760,2360,extension_train_umi_4prb,4,0.02023393929818207,0.0006310114779913776,0.28856563568115234,0.35093870759010315,-1.3067986965179443,0.05933761969208717,0.18078993260860443,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
800,2400,extension_train_umi_4prb,4,1.8107725676822968,0.0005996070553910822,0.1757737696170807,0.26519814133644104,-1.7927597761154175,0.004272607620805502,0.0664052814245224,0.26378498716637283,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
840,2440,extension_train_umi_4prb,4,3.601311196066412,0.0005682050584545418,0.09947621822357178,0.19750435650348663,-1.9741744995117188,0.013611716218292713,0.04711933806538582,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
880,2480,extension_train_umi_4prb,4,5.391849824450527,0.0005369993330421686,0.03699571266770363,0.14471210539340973,-2.249677896499634,0.09535008668899536,0.0529523603618145,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
920,2520,extension_train_umi_4prb,4,7.182388452834642,0.0005061825134219219,0.0199282169342041,0.1254231482744217,-2.4921844005584717,0.38228586316108704,0.22811877727508545,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
960,2560,extension_train_umi_4prb,4,8.972927081218756,0.0004759448331297934,0.016707126051187515,0.11707813292741776,-2.0280587673187256,0.02063864842057228,0.15962974727153778,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1000,2600,extension_train_umi_4prb,4,10.76346570960287,0.0004464729506501125,-0.09400580823421478,0.027084320783615112,-2.6627449989318848,0.24094258248806,0.19516409933567047,0.26561723270253906,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1040,2640,extension_train_umi_4prb,4,12.554004337986987,0.00041794879716479665,-0.013701969757676125,0.10477188974618912,-2.381201982498169,0.011724787764251232,0.1248616874217987,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1080,2680,extension_train_umi_4prb,4,-1.6554570336288992,0.0003905484534844402,0.3240945637226105,0.4007606506347656,-1.5569661855697632,0.023644814267754555,0.03023264743387699,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1120,2720,extension_train_umi_4prb,4,0.13508159475521575,0.00036444106309399527,0.22732585668563843,0.3084983229637146,-1.6248539686203003,0.0014047875301912427,0.048027779906988144,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1160,2760,extension_train_umi_4prb,4,1.9256202231393305,0.0003397877880228569,0.1204211488366127,0.21358256042003632,-2.163039445877075,0.2998112738132477,0.16364151239395142,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1200,2800,extension_train_umi_4prb,4,3.7161588515234456,0.00031674081398481226,0.09029992669820786,0.1931249052286148,-2.152973175048828,0.09647367894649506,0.06705261766910553,0.2639830617055681,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1240,2840,extension_train_umi_4prb,4,5.50669747990756,0.000295442410929168,0.09209846705198288,0.16597387194633484,-1.6040979623794556,0.1265898197889328,0.2742762267589569,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1280,2880,extension_train_umi_4prb,4,7.297236108291676,0.0002760240548023128,-0.02285391464829445,0.0701259970664978,-2.704868793487549,0.8452706933021545,0.37812280654907227,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1320,2920,extension_train_umi_4prb,4,9.08777473667579,0.0002586056159411172,0.01801355928182602,0.09373549371957779,-1.6790196895599365,0.1645810753107071,0.31294459104537964,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1360,2960,extension_train_umi_4prb,4,10.878313365059904,0.0002432946191082547,0.06833664327859879,0.15477167069911957,-1.8347142934799194,0.10601374506950378,0.41846486926078796,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1400,3000,extension_train_umi_4prb,4,12.66885199344402,0.00023018557973727668,-0.08111921697854996,0.03700234368443489,-2.715777635574341,0.3533465564250946,0.23805087804794312,0.26385141747176183,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1440,3040,extension_train_umi_4prb,4,-1.5406093781718655,0.00021935942048482719,0.3355144262313843,0.39759039878845215,-1.2625807523727417,0.021061595529317856,0.11926953494548798,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1480,3080,extension_train_umi_4prb,4,0.24992925021224943,0.00021088297169164828,0.2620626986026764,0.3357299864292145,-1.4821457862854004,0.008800085633993149,0.09771744161844254,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1520,3120,extension_train_umi_4prb,4,2.040467878596364,0.0002048085588360485,0.13209907710552216,0.22821415960788727,-2.0541157722473145,0.1318141669034958,0.08654054254293442,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1560,3160,extension_train_umi_4prb,4,3.8310065069804793,0.00020117367952650383,0.11280234158039093,0.20875133574008942,-1.920013666152954,0.0010339152067899704,0.051748644560575485,nan,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
1599,3199,extension_train_umi_8prb,8,-1.0965147104558688,0.0002,0.31214115023612976,0.38614168763160706,-1.774569034576416,0.29455816745758057,0.18025530874729156,0.26327723800601033,7722cd57d7150b6b501e788a3ea59646d0c28c1b826373802b794df74c3c2802
