step,case,num_prb,ebno_db,training_seed,learning_rate,loss,coded_bit_nll,channel_nll,calibration_penalty,fused_channel_mse,ls_channel_mse,ls_gain_hinge,gradient_norm,validation_score,best_score,no_improve,contract_signature
0,implementable_train_umi_4prb,4,12.682823181152344,2046090301,0.003,-0.10457365214824677,0.024288972839713097,-2.7585415840148926,0.20322321355342865,0.02071470394730568,0.02071470394730568,0.019999980926513672,0.07059076428413391,0.2589630038875289,0.2589630038875289,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
50,implementable_train_umi_4prb,4,-0.9353809356689453,2046090351,0.0029998723268075955,0.40900754928588867,0.4243142902851105,-0.35354962944984436,0.11853775382041931,0.24498632550239563,0.25122857093811035,0.0,0.022304799407720566,nan,0.2589630038875289,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
100,implementable_train_umi_4prb,4,-1.3771944046020508,2046090401,0.002999489329110173,0.45801815390586853,0.4683016836643219,-0.27034226059913635,0.16167932748794556,0.2614944279193878,0.27227234840393066,0.0,0.02137228474020958,nan,0.2589630038875289,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
150,implementable_train_umi_4prb,4,6.561739921569824,2046090451,0.0029988510725433544,0.0813986286520958,0.17366525530815125,-1.8484880924224854,0.007888954132795334,0.05773760378360748,0.06143339350819588,0.0,0.025562455877661705,nan,0.2589630038875289,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
200,implementable_train_umi_4prb,4,0.42724609375,2046090501,0.0029979576664873457,0.3489808440208435,0.37986522912979126,-0.7000914812088013,0.20601004362106323,0.16711761057376862,0.18152962625026703,0.0,0.03565407171845436,nan,0.2589630038875289,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
250,implementable_train_umi_4prb,4,10.500187873840332,2046090551,0.002996809264048192,-0.07983650267124176,0.046364713460206985,-2.526461362838745,0.006093116011470556,0.02936558611690998,0.032181162387132645,0.0,0.03538301959633827,0.24646809675793582,0.24646809675793582,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
300,implementable_train_umi_4prb,4,4.572877883911133,2046090601,0.0029954060620315383,0.14108151197433472,0.2169005125761032,-1.5331263542175293,0.04186658188700676,0.07792879641056061,0.09076978266239166,0.0,0.03886273503303528,nan,0.24646809675793582,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
350,implementable_train_umi_4prb,4,3.483583450317383,2046090651,0.002993748300908903,0.17852424085140228,0.2466253787279129,-1.4031281471252441,0.1027633398771286,0.08640387654304504,0.09951881319284439,0.0,0.03586912527680397,nan,0.24646809675793582,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
400,implementable_train_umi_4prb,4,-1.7624921798706055,2046090701,0.0029918362647764663,0.43394121527671814,0.44550710916519165,-0.29014816880226135,0.14707648754119873,0.25793665647506714,0.2920230031013489,0.0,0.03122607246041298,nan,0.24646809675793582,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
450,implementable_train_umi_4prb,4,7.207401275634766,2046090751,0.0029896702813063856,-0.0002088064793497324,0.10945425182580948,-2.2252442836761475,0.07995794713497162,0.038414329290390015,0.04543442279100418,0.0,0.0322435088455677,nan,0.24646809675793582,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
500,implementable_train_umi_4prb,4,-1.9922008514404297,2046090801,0.00298725072169064,0.4623546600341797,0.47134050726890564,-0.23147927224636078,0.12940660119056702,0.2755641043186188,0.31420204043388367,0.0,0.027877338230609894,0.2414873196761761,0.2414873196761761,0,ddfd2326bf684e6f70838c60afcbefbc28b83ec5bb1e6399e55d7f238f219c53
