candidate,step,case,ebno_db,loss,coded_bit_nll,channel_nll,calibration_penalty,gradient_norm,validation_score,contract_signature
case_specific_r16_warm_lf2_lt1,0,joint_umi_type1_2user_2layer,-2.0,0.40586626529693604,0.44312795996665955,-0.7470009922981262,0.004418021999299526,0.04648813605308533,0.5670343364964526,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,40,joint_umi_type1_2user_2layer,-0.6570960287119139,0.36111119389533997,0.4130578339099884,-1.1158084869384766,0.19218946993350983,0.05430177226662636,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,80,joint_umi_type1_2user_2layer,0.6858079425761723,0.43201690912246704,0.4473027288913727,-0.3635990619659424,0.14470726251602173,0.04747015982866287,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,120,joint_umi_type1_2user_2layer,2.0287119138642584,0.4309540390968323,0.44481462240219116,-0.3499634861946106,0.18187963962554932,0.055245086550712585,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,160,joint_umi_type1_2user_2layer,3.3716158851523446,0.2682846784591675,0.31302765011787415,-0.8952786326408386,0.001047048019245267,0.07525385916233063,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,200,joint_umi_type1_2user_2layer,4.714519856440431,0.4593769311904907,0.46737968921661377,-0.27176326513290405,0.27926987409591675,0.0830458551645279,0.5460419528592856,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,240,joint_umi_type1_2user_2layer,6.057423827728517,0.28227296471595764,0.33574971556663513,-1.0715808868408203,0.005114251747727394,0.06849171966314316,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,280,joint_umi_type1_2user_2layer,7.400327799016603,0.39163094758987427,0.4356723129749298,-0.8884613513946533,0.019086094573140144,0.08002631366252899,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,320,joint_umi_type1_2user_2layer,8.74323177030469,0.22369246184825897,0.2864631116390228,-1.2787468433380127,0.0583343505859375,0.10615243017673492,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,360,joint_umi_type1_2user_2layer,-1.9138642584072247,0.4305703938007355,0.4642942249774933,-0.6748870015144348,0.0010264500742778182,0.027790851891040802,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,400,joint_umi_type1_2user_2layer,-0.5709602871191386,0.3703266382217407,0.4007679224014282,-0.6182854771614075,0.023649850860238075,0.03391144424676895,0.53417126412995,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,440,joint_umi_type1_2user_2layer,0.7719436841689475,0.3526894748210907,0.40682452917099,-1.1206375360488892,0.09484151005744934,0.04239876568317413,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,480,joint_umi_type1_2user_2layer,2.1148476554570337,0.2936072051525116,0.3435279428958893,-1.0015302896499634,0.007788620889186859,0.0477827787399292,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,520,joint_umi_type1_2user_2layer,3.45775162674512,0.3782866597175598,0.42578738927841187,-0.9501894116401672,0.0004372646508272737,0.029167955741286278,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,560,joint_umi_type1_2user_2layer,4.800655598033206,0.3000278174877167,0.357483834028244,-1.1583871841430664,0.02316655032336712,0.04758875072002411,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,600,joint_umi_type1_2user_2layer,6.143559569321292,0.25244617462158203,0.31379953026771545,-1.2437177896499634,0.04162662476301193,0.055007919669151306,0.5262984699801039,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,640,joint_umi_type1_2user_2layer,7.486463540609378,0.4181642532348633,0.43330174684524536,-0.41184142231941223,0.27272775769233704,0.09665808081626892,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
case_specific_r16_warm_lf2_lt1,680,joint_umi_type1_2user_2layer,8.829367511897464,0.3359037935733795,0.37785330414772034,-0.8616563081741333,0.056664127856492996,0.08794231712818146,nan,ab5a3ab8a2d02a3cb2254b31d857e31680c5b2be61c4924f07c2c9ea2ab93af4
