candidate,step,case,num_prb,ebno_db,loss,coded_bit_nll,channel_nll,calibration_penalty,gradient_norm,validation_score,contract_signature
alloc_context_multiscale_r64,0,factorial_train_umi_4prb,4,-2.0,0.5245219469070435,0.4916876256465912,0.014298170804977417,0.6423883438110352,0.1708146631717682,0.6433379546703103,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,40,factorial_train_umi_4prb,4,-0.20946137161588507,0.4197799265384674,0.3952609598636627,-0.5589423775672913,1.0493221282958984,0.36698949337005615,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,80,factorial_train_umi_4prb,4,1.5810772567682299,0.3037230372428894,0.3366827964782715,-0.998967170715332,0.3397720456123352,0.20409531891345978,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,120,factorial_train_umi_4prb,4,3.3716158851523446,0.2227359116077423,0.26309698820114136,-1.333716630935669,0.5264949202537537,0.23824100196361542,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,160,factorial_train_umi_4prb,4,5.16215451353646,0.16791875660419464,0.2167777568101883,-1.4426920413970947,0.4655120372772217,0.23428484797477722,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,200,factorial_train_umi_4prb,4,6.952693141920575,0.28264132142066956,0.3288067579269409,-0.9363749027252197,0.013066187500953674,0.23361660540103912,0.3615346503489234,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,240,factorial_train_umi_4prb,4,8.74323177030469,0.07193605601787567,0.10024091601371765,-1.8251724243164062,1.2590752840042114,0.4842883348464966,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,280,factorial_train_umi_4prb,4,10.533770398688803,0.04062625765800476,0.10446424037218094,-1.6727561950683594,0.3959965109825134,0.2722915709018707,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,320,factorial_train_umi_4prb,4,12.32430902707292,0.01979926973581314,0.08483949303627014,-1.9254695177078247,0.6246650218963623,0.32412073016166687,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,360,factorial_train_umi_4prb,4,-1.8851523445429663,0.39817363023757935,0.4438369870185852,-0.9173462986946106,0.004079527221620083,0.08721857517957687,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,400,factorial_train_umi_4prb,4,-0.09461371615885161,0.28408125042915344,0.3423472046852112,-1.2656772136688232,0.10035838931798935,0.056367624551057816,0.3248549850663342,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,440,factorial_train_umi_4prb,4,1.6959249122252635,0.2456423044204712,0.3083648681640625,-1.2873389720916748,0.03288770094513893,0.10282879322767258,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,480,factorial_train_umi_4prb,4,3.4864635406093782,0.17635516822338104,0.24265609681606293,-1.3334778547286987,0.007459099870175123,0.10232540220022202,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,520,factorial_train_umi_4prb,4,5.277002168993493,0.13890625536441803,0.20734190940856934,-1.3687498569488525,3.658891000668518e-05,0.1558411419391632,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,560,factorial_train_umi_4prb,4,7.0675407973776085,0.050593212246894836,0.09430886805057526,-2.13684344291687,1.2625303268432617,0.46980756521224976,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,600,factorial_train_umi_4prb,4,8.858079425761723,-0.004694735631346703,0.079499751329422,-2.0628502368927,0.3789605498313904,0.21800225973129272,0.30761774755184895,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,640,factorial_train_umi_4prb,4,10.648618054145837,0.007182988338172436,0.0940278097987175,-1.7869699001312256,0.05007346346974373,0.031535129994153976,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,680,factorial_train_umi_4prb,4,12.439156682529953,-0.041166722774505615,0.054221995174884796,-2.080721616744995,0.17294734716415405,0.14215250313282013,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,720,factorial_train_umi_4prb,4,-1.7703046890859326,0.33258241415023804,0.3923666179180145,-1.2090998888015747,0.013415908440947533,0.04645591974258423,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,760,factorial_train_umi_4prb,4,0.02023393929818207,0.2999785244464874,0.36434468626976013,-1.2881742715835571,0.0008509798208251595,0.13250508904457092,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,800,factorial_train_umi_4prb,4,1.8107725676822968,0.28394579887390137,0.3360894024372101,-1.1080511808395386,0.0651787668466568,0.42853909730911255,0.2967781120335924,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,840,factorial_train_umi_4prb,4,3.601311196066412,0.12722915410995483,0.21275120973587036,-1.75171959400177,0.0412786565721035,0.04161734879016876,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,880,factorial_train_umi_4prb,4,5.391849824450527,0.1666746437549591,0.23120668530464172,-1.340334177017212,0.04969353228807449,0.31674590706825256,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,920,factorial_train_umi_4prb,4,7.182388452834642,0.08141552656888962,0.17187362909317017,-1.8613739013671875,0.05221183970570564,0.028776079416275024,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,960,factorial_train_umi_4prb,4,8.972927081218756,-0.04761582240462303,0.039094943553209305,-2.4128143787384033,0.678598940372467,0.344378799200058,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,1000,factorial_train_umi_4prb,4,10.76346570960287,-0.035752058029174805,0.048743341118097305,-2.4961938858032227,0.8062860369682312,0.39580366015434265,0.29214600067327856,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,1040,factorial_train_umi_4prb,4,12.554004337986987,-0.029776841402053833,0.05607008934020996,-2.5219619274139404,0.8050233125686646,0.3710062503814697,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,1080,factorial_train_umi_4prb,4,-1.6554570336288992,0.3676884174346924,0.41742265224456787,-1.033732533454895,0.03904759883880615,0.16929392516613007,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,1120,factorial_train_umi_4prb,4,0.13508159475521575,0.24059587717056274,0.3181995749473572,-1.5799171924591064,0.027843065559864044,0.01447976753115654,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
alloc_context_multiscale_r64,1160,factorial_train_umi_4prb,4,1.9256202231393305,0.1415654718875885,0.22072254121303558,-1.906455397605896,0.32331421971321106,0.17792555689811707,nan,070e9f158ed2727510bf2420caf134a61cfb1f716149a8d6afaddb2f4a9826b3
