step,loss,bce,channel_marginal_nll,nmse,ber,tblER_proxy,bit_nll,brier,snr_db,lr,grad_norm,params,edge_density,validation_bit_nll,training_contract_signature
0,0.5697507262229919,0.5697507262229919,0.27064383029937744,0.49117329716682434,0.3117235004901886,1.0,0.5697507262229919,0.19570735096931458,5.457755088806152,0.004,0.009997428394854069,17,0.799717903137207,0.5594542821248373,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
25,0.5618558526039124,0.5618558526039124,0.24594862759113312,0.48239031434059143,0.3048841655254364,1.0,0.5618558526039124,0.19243884086608887,6.275323867797852,0.004,0.009231766685843468,17,0.7995415925979614,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
50,0.5578358173370361,0.5578358173370361,0.21355099976062775,0.46818822622299194,0.3008524477481842,1.0,0.5578358173370361,0.19088192284107208,7.9566240310668945,0.004,0.0063230558298528194,17,0.7992133498191833,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
75,0.5572348237037659,0.5572348237037659,0.1965135782957077,0.46863415837287903,0.3012729287147522,1.0,0.5572348237037659,0.19064202904701233,7.699493408203125,0.004,0.005219768267124891,17,0.7997775673866272,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
100,0.55367112159729,0.55367112159729,0.15342673659324646,0.4516545832157135,0.2969089150428772,1.0,0.55367112159729,0.18914911150932312,13.040771484375,0.004,0.004152634646743536,17,0.7989203929901123,0.5532445510228475,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
125,0.5655438303947449,0.5655438303947449,0.21156398952007294,0.4668748378753662,0.308007150888443,1.0,0.5655438303947449,0.19416268169879913,4.067887306213379,0.004,0.0036245433147996664,17,0.7987955808639526,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
150,0.5596106648445129,0.5596106648445129,0.1846010684967041,0.46660736203193665,0.303131103515625,1.0,0.5596106648445129,0.1916876584291458,6.274557113647461,0.004,0.0037158082704991102,17,0.7991699576377869,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
175,0.5619696378707886,0.5619696378707886,0.19858142733573914,0.47173064947128296,0.3046095073223114,1.0,0.5619696378707886,0.19264854490756989,5.237411975860596,0.004,0.002371493959799409,17,0.7987766265869141,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
200,0.5594404935836792,0.5594404935836792,0.18952494859695435,0.4687708616256714,0.30328369140625,1.0,0.5594404935836792,0.1917130947113037,6.450255393981934,0.004,0.0031772940419614315,17,0.7990750074386597,0.551604151725769,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
225,0.5565508008003235,0.5565508008003235,0.17391248047351837,0.45482969284057617,0.2997877299785614,1.0,0.5565508008003235,0.1904550939798355,7.727352142333984,0.004,0.0020931365434080362,17,0.7986056804656982,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
250,0.5535103678703308,0.5535103678703308,0.14575164020061493,0.4524630010128021,0.2970072329044342,1.0,0.5535103678703308,0.18912912905216217,9.841827392578125,0.004,0.0018177396850660443,17,0.7984863519668579,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
275,0.5439191460609436,0.5439191460609436,0.13809235394001007,0.4373798370361328,0.2889675498008728,1.0,0.5439191460609436,0.18524619936943054,15.807535171508789,0.004,0.0023265290074050426,17,0.7981011271476746,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
300,0.5496993660926819,0.5496993660926819,0.14938905835151672,0.44869890809059143,0.293724924325943,1.0,0.5496993660926819,0.18760254979133606,11.75789737701416,0.004,0.002174783032387495,17,0.7982883453369141,0.5510838031768799,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
325,0.5630015134811401,0.5630015134811401,0.19967283308506012,0.4660816788673401,0.3065219521522522,1.0,0.5630015134811401,0.19308103621006012,4.8562774658203125,0.004,0.0013780981535091996,17,0.7986979484558105,nan,9206c0eb2e753ae0245beff5b7d3c272aa63de695449f3745f5db6ab7832b628
