step,case,num_prb,scenario,ebno_db,training_seed,learning_rate,proposed_loss,single_loss,proposed_bit_nll,single_bit_nll,proposed_channel_nmse,single_channel_nmse,proposed_gradient_norm,single_gradient_norm,proposed_validation_score,single_validation_score,proposed_best_score,single_best_score,contract_signature
0,gate2_train_umi_t1_4prb,4,umi,-0.40590572357177734,2056091701,0.002,0.7274994254112244,2.233449697494507,0.4966745376586914,0.977131724357605,0.43693670630455017,0.8806979060173035,0.1296304315328598,1.5982425212860107,0.6496291295400937,1.0372366124364802,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
25,gate2_train_umi_t1_8prb,8,umi,6.813051223754883,2056091726,0.0019999151560197007,0.5311262607574463,1.4217908382415771,0.3229396641254425,0.43143293261528015,0.34770694375038147,0.4768436551094055,0.14383277297019958,1.1869103908538818,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
50,gate2_train_umi_t1_12prb,12,umi,5.3082685470581055,2056091751,0.001999660638621229,0.5766040086746216,1.3014944791793823,0.36823922395706177,0.43313834071159363,0.3529154658317566,0.44437921047210693,0.1126164048910141,1.0052721500396729,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
75,gate2_train_umi_t2_12prb,12,umi,8.715091705322266,2056091776,0.0019992364914293717,0.5402512550354004,1.1980758905410767,0.32691994309425354,0.3744160532951355,0.34953632950782776,0.40043243765830994,0.10747498273849487,0.87422776222229,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
100,gate2_train_uma_t1_12prb,12,uma,-1.5711069107055664,2056091801,0.001998642787143797,0.7344401478767395,1.4654992818832397,0.5074776411056519,0.6657059192657471,0.4183311462402344,0.6670646071434021,0.06628166884183884,0.9030661582946777,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
125,gate2_train_cdl_a_2layer_12prb,12,cdl-a,2.6232261657714844,2056091826,0.0019978796275265946,0.7927178740501404,1.294892430305481,0.6039501428604126,0.6533530950546265,0.3486081063747406,0.3956027328968048,0.04330587387084961,0.6720225214958191,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
125,gate2_train_cdl_a_2layer_12prb,12,cdl-a,2.6232261657714844,2056091826,0.0019978796275265946,0.7927178740501404,1.294892430305481,0.6039501428604126,0.6533530950546265,0.3486081063747406,0.3956027328968048,0.04330587387084961,0.6720225811004639,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
150,gate2_train_umi_t1_4prb,4,umi,1.9394817352294922,2056091851,0.0019969471433848355,0.6217184662818909,1.4881969690322876,0.444144606590271,0.7077625393867493,0.3907134532928467,0.6915347576141357,0.0772404745221138,0.9571293592453003,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
175,gate2_train_umi_t1_8prb,8,umi,0.6754884719848633,2056091876,0.0019958454945481477,0.619073748588562,1.2209558486938477,0.4270946979522705,0.5630773901939392,0.3831651210784912,0.5741960406303406,0.06379742920398712,0.7390471696853638,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
200,gate2_train_umi_t1_12prb,12,umi,9.26042366027832,2056091901,0.001994574869841323,0.4693306088447571,0.8571876287460327,0.2987792193889618,0.31551581621170044,0.3406483829021454,0.36064237356185913,0.053185924887657166,0.5059517621994019,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
225,gate2_train_umi_t2_12prb,12,umi,7.623135566711426,2056091926,0.001993135487051953,0.4979962408542633,0.9104558229446411,0.311349481344223,0.350178062915802,0.3438810110092163,0.38587841391563416,0.05328097194433212,0.5114959478378296,nan,nan,0.6496291295400937,1.0372366124364802,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
250,gate2_train_uma_t1_12prb,12,uma,7.000446319580078,2056091951,0.0019915275928930986,0.5056623816490173,0.8516435623168945,0.3355485796928406,0.3546890914440155,0.34869709610939026,0.37448829412460327,0.03692621365189552,0.4426487982273102,0.5839418382636414,0.7606346796254714,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
275,gate2_train_cdl_a_2layer_12prb,12,cdl-a,-0.3228750228881836,2056091976,0.0019897514629610025,0.7496151924133301,1.067421555519104,0.568588137626648,0.597267746925354,0.3597632050514221,0.41480523347854614,0.02526180073618889,0.41971415281295776,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
300,gate2_train_umi_t1_4prb,4,umi,-1.9338932037353516,2056092001,0.001987807401687853,0.708852231502533,1.2988632917404175,0.5274962186813354,0.7373182773590088,0.4552001357078552,0.741188108921051,0.045381758362054825,0.6453084945678711,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
325,gate2_train_umi_t1_8prb,8,umi,4.634857177734375,2056092026,0.0019856957422896013,0.536403477191925,0.8831687569618225,0.37745076417922974,0.43343332409858704,0.3474290072917938,0.4143923819065094,0.03801596909761429,0.40803027153015137,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
350,gate2_train_umi_t1_12prb,12,umi,13.258512496948242,2056092051,0.001983416846708851,0.3786720633506775,0.6343902349472046,0.23392510414123535,0.2411382645368576,0.32941100001335144,0.3377554714679718,0.03320175036787987,0.3135542869567871,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
375,gate2_train_umi_t2_12prb,12,umi,1.013265609741211,2056092076,0.0019809711055528184,0.6064197421073914,0.9147028923034668,0.41444775462150574,0.4702185094356537,0.3736165761947632,0.45564448833465576,0.02730151265859604,0.36083924770355225,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
400,gate2_train_uma_t1_12prb,12,uma,9.591490745544434,2056092101,0.00197835893802638,0.4598446488380432,0.6967141032218933,0.306937575340271,0.31851813197135925,0.33921802043914795,0.35190752148628235,0.01970483921468258,0.2837279438972473,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
425,gate2_train_cdl_a_2layer_12prb,12,cdl-a,8.1153564453125,2056092126,0.001975580791860223,0.6190456748008728,0.8385798931121826,0.4768408238887787,0.494020015001297,0.33004865050315857,0.33598288893699646,0.028335487470030785,0.27685561776161194,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
450,gate2_train_umi_t1_4prb,4,umi,8.746044158935547,2056092151,0.001972637143234103,0.42776626348495483,0.8096434473991394,0.2981443703174591,0.40127232670783997,0.3412398099899292,0.43982189893722534,0.03719576448202133,0.39390167593955994,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
475,gate2_train_umi_t1_8prb,8,umi,11.903970718383789,2056092176,0.001969528496695224,0.3791397511959076,0.6125835180282593,0.2513282895088196,0.27667659521102905,0.32527047395706177,0.3534408211708069,0.03175322711467743,0.24099834263324738,nan,nan,0.5839418382636414,0.7606346796254714,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
500,gate2_train_umi_t1_12prb,12,umi,11.553987503051758,2056092201,0.0019662553850717584,0.4130525290966034,0.6066842079162598,0.27321183681488037,0.28041204810142517,0.3292684555053711,0.33778172731399536,0.020750517025589943,0.21464498341083527,0.5790537848994312,0.6837606860430072,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
525,gate2_train_umi_t2_12prb,12,umi,3.7992334365844727,2056092226,0.001962818369381521,0.5082175135612488,0.7421543002128601,0.3371344804763794,0.37481483817100525,0.35131072998046875,0.3964155912399292,0.02734372951090336,0.22645728290081024,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
550,gate2_train_uma_t1_12prb,12,uma,12.0786771774292,2056092251,0.0019592180387358075,0.467282772064209,0.6512882113456726,0.31080207228660583,0.32102659344673157,0.3426121473312378,0.3524893820285797,0.03471120819449425,0.20873455703258514,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
575,gate2_train_cdl_a_2layer_12prb,12,cdl-a,11.254331588745117,2056092276,0.0019554550102384213,0.6045671105384827,0.7766450047492981,0.479428231716156,0.48955047130584717,0.32634276151657104,0.3291687071323395,0.027021100744605064,0.19838935136795044,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
600,gate2_train_umi_t1_4prb,4,umi,6.479302406311035,2056092301,0.0019515299288798986,0.4636268615722656,0.7620940208435059,0.32897382974624634,0.42007508873939514,0.35353967547416687,0.4487603008747101,0.02301839552819729,0.2774951756000519,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
625,gate2_train_umi_t1_8prb,8,umi,12.530970573425293,2056092326,0.0019474434674269575,0.36392906308174133,0.5622630715370178,0.2423781007528305,0.26867014169692993,0.32507845759391785,0.3522374629974365,0.023794090375304222,0.17108938097953796,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
650,gate2_train_umi_t1_12prb,12,umi,4.873396873474121,2056092351,0.0019431963263071843,0.4645105302333832,0.6348554491996765,0.3165227174758911,0.333204060792923,0.3433409333229065,0.36332595348358154,0.023110955953598022,0.1467265486717224,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
675,gate2_train_umi_t2_12prb,12,umi,-1.6066436767578125,2056092376,0.0019387892334889777,0.6741360425949097,0.8865130543708801,0.48721399903297424,0.5339925289154053,0.4006996750831604,0.4817012846469879,0.03464733064174652,0.20449906587600708,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
700,gate2_train_uma_t1_12prb,12,uma,8.401995658874512,2056092401,0.0019342229443567746,0.47502264380455017,0.6275618672370911,0.3276229798793793,0.3373004198074341,0.3438429534435272,0.3569255471229553,0.020866308361291885,0.14266476035118103,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
725,gate2_train_cdl_a_2layer_12prb,12,cdl-a,-1.2553682327270508,2056092426,0.0019294982415815753,0.7626585364341736,0.9132288694381714,0.6066978573799133,0.6164637207984924,0.35976794362068176,0.39207562804222107,0.0229549091309309,0.1398998349905014,nan,nan,0.5790537848994312,0.6837606860430072,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
750,gate2_train_umi_t1_4prb,4,umi,5.678149223327637,2056092451,0.0019246159349867924,0.44988301396369934,0.710394561290741,0.33221739530563354,0.40795356035232544,0.3484944999217987,0.43384283781051636,0.03135530278086662,0.20785857737064362,0.5756731796148565,0.6486851171855859,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
775,gate2_train_umi_t1_8prb,8,umi,11.67733097076416,2056092476,0.0019195768614094447,0.37234818935394287,0.5464982986450195,0.25803765654563904,0.28246447443962097,0.3245730996131897,0.34898313879966736,0.022408638149499893,0.12149587273597717,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
800,gate2_train_umi_t1_12prb,12,umi,5.840336799621582,2056092501,0.0019143818845567236,0.4610937535762787,0.6121457815170288,0.32594817876815796,0.3404355049133301,0.33932048082351685,0.3557469844818115,0.022836878895759583,0.10373162478208542,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
825,gate2_train_umi_t2_12prb,12,umi,2.243144989013672,2056092526,0.001909031894857949,0.5605993866920471,0.7304966449737549,0.3936921954154968,0.4269828498363495,0.3595757484436035,0.40276074409484863,0.013961580581963062,0.1202365905046463,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
850,gate2_train_uma_t1_12prb,12,uma,-1.2496137619018555,2056092551,0.0019035278093119507,0.6757168769836426,0.8228104710578918,0.49303746223449707,0.5160518884658813,0.4074600040912628,0.4590316116809845,0.035941530019044876,0.13091987371444702,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
875,gate2_train_cdl_a_2layer_12prb,12,cdl-a,6.949652671813965,2056092576,0.001897870571329892,0.6559232473373413,0.7916690111160278,0.5384381413459778,0.5456729531288147,0.32933327555656433,0.3360469937324524,0.03087802231311798,0.1161692813038826,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
900,gate2_train_umi_t1_4prb,4,umi,-1.924057960510254,2056092601,0.0018920611505735662,0.6605855226516724,0.9091426134109497,0.511949360370636,0.599858820438385,0.4492771625518799,0.5828678011894226,0.06274481117725372,0.22669048607349396,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
925,gate2_train_umi_t1_8prb,8,umi,-1.8317813873291016,2056092626,0.001886100542789196,0.6549305319786072,0.8212643265724182,0.48521995544433594,0.5287160277366638,0.41888514161109924,0.48817989230155945,0.03591533750295639,0.12860365211963654,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
950,gate2_train_umi_t1_12prb,12,umi,3.557034492492676,2056092651,0.0018799897696367598,0.4858684837818146,0.6344992518424988,0.34622299671173096,0.36710935831069946,0.35308837890625,0.37806251645088196,0.019914094358682632,0.07966797053813934,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
975,gate2_train_umi_t2_12prb,12,umi,4.999448776245117,2056092676,0.001873729878514878,0.4688009023666382,0.6362084150314331,0.3256537914276123,0.3590703308582306,0.34215247631073,0.37432944774627686,0.021673865616321564,0.08352640271186829,nan,nan,0.5756731796148565,0.6486851171855859,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1000,gate2_train_uma_t1_12prb,12,uma,12.173766136169434,2056092701,0.001867321942381286,0.404152512550354,0.5411404967308044,0.29535478353500366,0.3042858839035034,0.33340632915496826,0.33892565965652466,0.016103949397802353,0.0720667690038681,0.5729866095030088,0.6293395461462354,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1025,gate2_train_cdl_a_2layer_12prb,12,cdl-a,8.106050491333008,2056092726,0.0018607670595689272,0.5957264304161072,0.7221195101737976,0.48890483379364014,0.4918094575405121,0.3278627395629883,0.3328617811203003,0.02378806099295616,0.08218309283256531,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1050,gate2_train_umi_t1_4prb,4,umi,7.769170761108398,2056092751,0.0018540663535976975,0.4043624997138977,0.6170058250427246,0.3032313883304596,0.3625199794769287,0.33893638849258423,0.3976423144340515,0.023421568796038628,0.11839029937982559,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1075,gate2_train_umi_t1_8prb,8,umi,2.4028491973876953,2056092776,0.0018472209729818697,0.4966982305049896,0.6669723391532898,0.3681723177433014,0.4089195728302002,0.35883235931396484,0.4048040807247162,0.018846876919269562,0.07545503973960876,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1100,gate2_train_umi_t1_12prb,12,umi,6.57003116607666,2056092801,0.0018402320910332385,0.43283945322036743,0.5693918466567993,0.3121395707130432,0.32711586356163025,0.33704882860183716,0.3501380681991577,0.018733741715550423,0.055191416293382645,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1125,gate2_train_umi_t2_12prb,12,umi,3.177027702331543,2056092826,0.0018331009056600104,0.5230581760406494,0.6859129071235657,0.38190996646881104,0.4146420657634735,0.35050830245018005,0.3875407576560974,0.019967660307884216,0.06751934438943863,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1150,gate2_train_uma_t1_12prb,12,uma,0.29112815856933594,2056092851,0.001825828639161481,0.6127908229827881,0.7530331015586853,0.4584674537181854,0.4838898181915283,0.38277173042297363,0.42167502641677856,0.017318779602646828,0.06853483617305756,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1175,gate2_train_cdl_a_2layer_12prb,12,cdl-a,-1.6889371871948242,2056092876,0.0018184165380185303,0.740143895149231,0.8657172918319702,0.604075014591217,0.6101765036582947,0.36013880372047424,0.3904968798160553,0.019749237224459648,0.06433101743459702,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1200,gate2_train_umi_t1_4prb,4,umi,13.8784818649292,2056092901,0.0018108658726799733,0.3281775712966919,0.5409393310546875,0.24494510889053345,0.3045509457588196,0.32722216844558716,0.37372320890426636,0.027009280398488045,0.09521269053220749,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1225,gate2_train_umi_t1_8prb,8,umi,1.7294988632202148,2056092926,0.001803177937344802,0.543583869934082,0.7047383785247803,0.4176168143749237,0.4563293755054474,0.3609529733657837,0.40538686513900757,0.014554261229932308,0.060860563069581985,nan,nan,0.5729866095030088,0.6293395461462354,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1250,gate2_train_umi_t1_12prb,12,umi,-1.414337158203125,2056092951,0.0017953540497403582,0.6395033597946167,0.7809646725654602,0.4868866205215454,0.5100090503692627,0.3917485475540161,0.43633872270584106,0.02650045044720173,0.06540505588054657,0.5716617830837011,0.6175080366900301,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1275,gate2_train_umi_t2_12prb,12,umi,5.360762596130371,2056092976,0.0017873955508964719,0.46679583191871643,0.6228102445602417,0.3351890444755554,0.36506739258766174,0.3417435884475708,0.3706119656562805,0.016221709549427032,0.04988856241106987,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1300,gate2_train_uma_t1_12prb,12,uma,13.687729835510254,2056093001,0.0017793038049156058,0.37894928455352783,0.5006574988365173,0.2796298861503601,0.28415340185165405,0.3352349102497101,0.3378430902957916,0.01412521954625845,0.03760657086968422,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1325,gate2_train_cdl_a_2layer_12prb,12,cdl-a,7.778384208679199,2056093026,0.001771080198739046,0.5592252016067505,0.6817032694816589,0.4657577872276306,0.4674435257911682,0.32797881960868835,0.33231285214424133,0.0169113390147686,0.046784449368715286,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1350,gate2_train_umi_t1_4prb,4,umi,-1.9737987518310547,2056093051,0.0017627261419091774,0.6547455191612244,0.8307856917381287,0.5132155418395996,0.5638794302940369,0.44901347160339355,0.5379860401153564,0.05829346179962158,0.12224085628986359,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1375,gate2_train_umi_t1_8prb,8,umi,12.684033393859863,2056093076,0.0017542430663278845,0.33541005849838257,0.48686105012893677,0.2523782253265381,0.2780948281288147,0.32247018814086914,0.33937472105026245,0.022307807579636574,0.0388777069747448,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1400,gate2_train_umi_t1_12prb,12,umi,0.20311737060546875,2056093101,0.0017456324260111226,0.5802049040794373,0.7237622737884521,0.4478062391281128,0.47001081705093384,0.36957377195358276,0.40373504161834717,0.015524870716035366,0.043999504297971725,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1425,gate2_train_umi_t2_12prb,12,umi,12.397684097290039,2056093126,0.0017368956968396936,0.38170939683914185,0.5238957405090332,0.25799521803855896,0.28454703092575073,0.3296269476413727,0.3457978665828705,0.012721056118607521,0.03833639994263649,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1450,gate2_train_uma_t1_12prb,12,uma,9.824687957763672,2056093151,0.0017280343763062807,0.4272744655609131,0.5442000031471252,0.31544029712677,0.3213542103767395,0.3411896228790283,0.3479612171649933,0.0193193256855011,0.03413643315434456,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1475,gate2_train_cdl_a_2layer_12prb,12,cdl-a,-0.7947893142700195,2056093176,0.0017190499832587713,0.7094421982765198,0.8332492709159851,0.5902299284934998,0.5950931310653687,0.35250186920166016,0.37661105394363403,0.016536768525838852,0.0423433855175972,nan,nan,0.5716617830837011,0.6175080366900301,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1500,gate2_train_umi_t1_4prb,4,umi,2.7116689682006836,2056093201,0.0017099440576399273,0.49945396184921265,0.689624011516571,0.4018552899360657,0.45600342750549316,0.3679616451263428,0.4308004081249237,0.01946261338889599,0.07636278122663498,0.5709223526790054,0.6099475695793968,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1525,gate2_train_umi_t1_8prb,8,umi,6.719169616699219,2056093226,0.0017007181602234332,0.41120362281799316,0.5569607019424438,0.31416866183280945,0.34223300218582153,0.33473414182662964,0.35871559381484985,0.019730528816580772,0.03248561546206474,nan,nan,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1550,gate2_train_umi_t1_12prb,12,umi,0.3427600860595703,2056093251,0.0016913738723463763,0.5622000098228455,0.6990051865577698,0.4306810200214386,0.45188552141189575,0.3694639801979065,0.40148040652275085,0.012159901671111584,0.0337788350880146,nan,nan,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1575,gate2_train_umi_t2_12prb,12,umi,-1.7675399780273438,2056093276,0.0016819127956382049,0.6589249968528748,0.7879757881164551,0.4902440905570984,0.5168013572692871,0.4041946828365326,0.45011991262435913,0.03218016400933266,0.04879353195428848,nan,nan,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1600,gate2_train_uma_t1_12prb,12,uma,-1.408219337463379,2056093301,0.0016723365517462034,0.6189875602722168,0.7573053240776062,0.4780826270580292,0.5003881454467773,0.393728643655777,0.43418070673942566,0.019972629845142365,0.040392033755779266,nan,nan,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
1625,gate2_train_cdl_a_2layer_12prb,12,cdl-a,11.851316452026367,2056093326,0.0016626467820575397,0.517663836479187,0.6400856375694275,0.44760197401046753,0.4446273744106293,0.3248337209224701,0.32514506578445435,0.015818240121006966,0.029198838397860527,nan,nan,0.5709223526790054,0.6099475695793968,855ecb1f7ea2e53287e669988ddbf61cb1552e64d1834504309aa647114239be
